Unnamed: 0;word;translation;type;cefr;phon_br;phon_n_am;definition;example
1345;debris;сміття;noun;c1;/ˈdebriː/;/dəˈbriː/;pieces of wood, metal, building materials, etc. that are left after something has been destroyed;Emergency teams are still clearing the debris from the plane crash.
1346;debt;борг;noun;b2;/det/;/det/;a sum of money that somebody owes;to pay/repay a debt
1347;debut;дебют;noun;c1;/ˈdeɪbjuː/;/deɪˈbjuː/;the first public appearance of a performer or sports player;He will make his debut for the first team this week.
1348;decade;десятиліття;noun;b1;/ˈdekeɪd/;/ˈdekeɪd/;a period of ten years, especially a continuous period, such as 1910–1919 or 2000–2009;the early decades of the nineteenth century
1349;December;грудень;noun;a1;/dɪˈsembə(r)/;/dɪˈsembər/;the 12th and last month of the year;She was born in December.
1350;decent;гідний;adjective;b2;/ˈdiːsnt/;/ˈdiːsnt/;of a good enough standard or quality;a decent meal/place to live 
1351;decide;визначити;verb;a1;/dɪˈsaɪd/;/dɪˈsaɪd/;to think carefully about the different possibilities that are available and choose one of them;It's up to you to decide.
1352;decision;рішення;noun;a2;/dɪˈsɪʒn/;/dɪˈsɪʒn/;a choice or judgement that you make after thinking and talking about what is the best thing to do;I think I've made the right decision.
1353;decision-making;прийняття рішень;noun;c1;/dɪˈsɪʒn meɪkɪŋ/;/dɪˈsɪʒn meɪkɪŋ/;the process of deciding about something important, especially in a group of people or in an organization;responsibility for decision-making
1354;decisive;рішучий;adjective;c1;/dɪˈsaɪsɪv/;/dɪˈsaɪsɪv/;very important for the final result of a particular situation;a decisive factor/victory/battle
1355;deck;колода;noun;b2;/dek/;/dek/;the top outside floor of a ship or boat;on deck, I was the only person on deck at that time of night.
1356;declaration;декларація;noun;c1;/ˌdekləˈreɪʃn/;/ˌdekləˈreɪʃn/;"an official or formal statement, especially about the plans of a government or an organization; the act of making such a statement";to issue/sign a declaration
1357;declare;деклар;verb;b2;/dɪˈkleə(r)/;/dɪˈkler/;to say something officially or publicly;declare something, The government has declared a state of emergency.
1358;decline;занепад;noun;b2;/dɪˈklaɪn/;/dɪˈklaɪn/;a continuous decrease in the number, value, quality, etc. of something;decline in something, There has been a 5 per cent decline in student numbers.
1359;decline;зниження;verb;b2;/dɪˈklaɪn/;/dɪˈklaɪn/;to become smaller, fewer, weaker, etc.;Support for the party continues to decline.
1360;decorate;прикрасити;verb;b1;/ˈdekəreɪt/;/ˈdekəreɪt/;to make something look more attractive by putting things on it;decorate something with something, They decorated the room with flowers and balloons.
1361;decoration;прикраса;noun;b2;/ˌdekəˈreɪʃn/;/ˌdekəˈreɪʃn/;a thing that makes something look more attractive on special occasions;Christmas/festive decorations
1362;decrease;зменшення;noun;b2;/ˈdiːkriːs/;/ˈdiːkriːs/;"the process of reducing something; the amount that something is reduced by";Sales for May show a decrease compared with the same month last year.
1363;decrease;зменшення;verb;b2;/dɪˈkriːs/;/dɪˈkriːs/;"to become smaller in size, number, etc.; to make something smaller in size, number, etc.";Donations have decreased significantly over the past few years.
1364;dedicated;присвячений;adjective;c1;/ˈdedɪkeɪtɪd/;/ˈdedɪkeɪtɪd/;working hard at something because it is very important to you;a dedicated teacher
1365;dedication;посвячення;noun;c1;/ˌdedɪˈkeɪʃn/;/ˌdedɪˈkeɪʃn/;the hard work and effort that somebody puts into an activity or a purpose because they think it is important;hard work and dedication
1366;deed;вчинок;noun;c1;/diːd/;/diːd/;a thing that somebody does that is usually very good or very bad;It's a stirring tale of heroic deeds.
1367;deem;придумує;verb;c1;/diːm/;/diːm/;to have a particular opinion about somebody/something;deem somebody/something + noun, The evening was deemed a great success.
1368;deep;глибокий;adjective;a2;/diːp/;/diːp/;having a large distance from the top or surface to the bottom;a deep hole/well/river
1369;deep;глибокий;adverb;b1;/diːp/;/diːp/;a long way below the surface of something or a long way inside or into something;Dig deeper!
1370;deeply;глибоко;adverb;b2;/ˈdiːpli/;/ˈdiːpli/;"very; very much";She is deeply religious.
1371;default;за замовчуванням;noun;c1;/dɪˈfɔːlt/;/dɪˈfɔːlt/;what happens or appears if you do not make any other choice or change, especially in a computer program;The default is fifty lines.
1372;defeat;поразка;noun;b2;/dɪˈfiːt/;/dɪˈfiːt/;failure to win or to be successful;The party faces defeat in the election.
1373;defeat;поразка;verb;b2;/dɪˈfiːt/;/dɪˈfiːt/;to win against somebody in a war, competition, sports game, etc.;defeat somebody/something, He defeated the champion in three sets.
1374;defect;дефект;noun;c1;/ˈdiːfekt/;/ˈdiːfekt/;a fault in something or in the way it has been made that means that it is not perfect;a defect in the glass
1375;defence;захист;noun;b2;/dɪˈfens/;/dɪˈfens/;the act of protecting somebody/something from attack, criticism, etc.;in defence of somebody/something, soldiers who died in defence of their country
1376;defend;захищати;verb;b2;/dɪˈfend/;/dɪˈfend/;to protect somebody/something from attack;defend somebody/something, The role of the military is to defend the country.
1377;defender;захисник;noun;b2;/dɪˈfendə(r)/;/dɪˈfendər/;a player who must stop the other team from scoring in games such as football (soccer), hockey, etc.;a passionate defender of human rights
1378;defensive;оборонний;adjective;c1;/dɪˈfensɪv/;/dɪˈfensɪv/;protecting somebody/something against attack;As a defensive measure he built a series of coastal forts and watchtowers.
1379;deficiency;дефіцит;noun;c1;/dɪˈfɪʃnsi/;/dɪˈfɪʃnsi/;the state of not having, or not having enough of, something that is essential;deficiency (in something), Vitamin deficiency in the diet can cause illness.
1380;deficit;дефіцит;noun;c1;/ˈdefɪsɪt/;/ˈdefɪsɪt/;the amount by which money spent or owed is greater than money earned in a particular period of time;a budget/trade deficit
1381;define;визначити;verb;b1;/dɪˈfaɪn/;/dɪˈfaɪn/;to say or explain what the meaning of a word or phrase is;define something, The term ‘normal’ is difficult to define.
1382;definite;визначений;adjective;b1;/ˈdefɪnət/;/ˈdefɪnət/;"sure or certain; unlikely to change";Can you give me a definite answer by tomorrow?
1383;definitely;однозначно;adverb;a2;/ˈdefɪnətli/;/ˈdefɪnətli/;a way of emphasizing that something is true and that there is no doubt about it;I definitely remember sending the letter.
1384;definition;визначення;noun;b1;/ˌdefɪˈnɪʃn/;/ˌdefɪˈnɪʃn/;an explanation of the meaning of a word or phrase, especially in a dictionary;The dictionary provides clear, simple definitions.
1385;defy;defy;verb;c1;/dɪˈfaɪ/;/dɪˈfaɪ/;to refuse to obey or show respect for somebody in authority, a law, a rule, etc.;I wouldn't have dared to defy my teachers.
1386;degree;ступінь;noun;a2;/dɪˈɡriː/;/dɪˈɡriː/;a unit for measuring temperature;at… degrees, Water freezes at 32 degrees Fahrenheit (32°F) or zero/nought degrees Celsius (0°C).
1387;delay;затримка;noun;b2;/dɪˈleɪ/;/dɪˈleɪ/;a period of time when somebody/something has to wait because of a problem that makes something slow or late;Commuters will face long delays on the roads today.
1388;delay;затримка;verb;b2;/dɪˈleɪ/;/dɪˈleɪ/;to make somebody/something late or force them to do something more slowly;My flight was delayed. 
1389;delegate;делегат;noun;c1;/ˈdelɪɡət/;/ˈdelɪɡət/;a person who is chosen or elected to represent the views of a group of people and vote and make decisions for them;Congress delegates rejected the proposals.
1390;delegation;делегація;noun;c1;/ˌdelɪˈɡeɪʃn/;/ˌdelɪˈɡeɪʃn/;a group of people who represent the views of an organization, a country, etc.;the Dutch delegation to the United Nations
1391;delete;видалити;verb;b2;/dɪˈliːt/;/dɪˈliːt/;to remove something that has been written or printed, or that has been stored on a computer;Your name has been deleted from the list.
1392;deliberate;навмисно;adjective;b2;/dɪˈlɪbərət/;/dɪˈlɪbərət/;done on purpose rather than by accident;a deliberate act of vandalism
1393;deliberately;навмисно;adverb;b2;/dɪˈlɪbərətli/;/dɪˈlɪbərətli/;done in a way that was planned, not by chance;She's been deliberately ignoring him all day.
1394;delicate;делікатний;adjective;c1;/ˈdelɪkət/;/ˈdelɪkət/;easily damaged or broken;delicate china teacups
1395;delicious;смачний;adjective;a1;/dɪˈlɪʃəs/;/dɪˈlɪʃəs/;having a very pleasant taste or smell;Who cooked this? It's absolutely delicious.
1396;delight;захоплення;noun;b2;/dɪˈlaɪt/;/dɪˈlaɪt/;a feeling of great pleasure;a feeling of sheer/pure delight
1397;delight;захоплення;verb;b2;/dɪˈlaɪt/;/dɪˈlaɪt/;to give somebody a lot of pleasure and joy;This news will delight his fans all over the world.
1398;delighted;в захваті;adjective;b2;/dɪˈlaɪtɪd/;/dɪˈlaɪtɪd/;very pleased;a delighted smile
1399;deliver;доставити;verb;b1;/dɪˈlɪvə(r)/;/dɪˈlɪvər/;to take goods, letters, etc. to the person or people they have been sent to;deliver something, I get my food delivered from the supermarket to save time.
1400;delivery;доставка;noun;b2;/dɪˈlɪvəri/;/dɪˈlɪvəri/;the act of taking goods, letters, etc. to the people they have been sent to;Allow 28 days for delivery.
1401;demand;попит;noun;b2;/dɪˈmɑːnd/;/dɪˈmænd/;"a very strong request for something; something that somebody needs";demand for something, a demand for higher pay
1402;demand;попит;verb;b2;/dɪˈmɑːnd/;/dɪˈmænd/;to make a very strong request for something;demand something, They are demanding the release of all political prisoners.
1403;democracy;демократія;noun;b2;/dɪˈmɒkrəsi/;/dɪˈmɑːkrəsi/;a system of government in which the people of a country can vote to elect their representatives;parliamentary democracy
1404;democratic;демократичний;adjective;b2;/ˌdeməˈkrætɪk/;/ˌdeməˈkrætɪk/;"controlled by representatives who are elected by the people of a country; connected with this system";a democratic country
1405;demon;демон;noun;c1;/ˈdiːmən/;/ˈdiːmən/;an evil spirit;The people believed the girl was possessed by demons.
1406;demonstrate;продемонструвати;verb;b2;/ˈdemənstreɪt/;/ˈdemənstreɪt/;to show something clearly by giving proof or evidence;demonstrate that…, New research convincingly demonstrates that age-related memory loss is not inevitable.
1407;demonstration;демонстрація;noun;b2;/ˌdemənˈstreɪʃn/;/ˌdemənˈstreɪʃn/;a public meeting or a march (= an organized walk by many people) at which people show that they are protesting against or supporting somebody/something;to take part in/go on a demonstration
1408;denial;заперечення;noun;c1;/dɪˈnaɪəl/;/dɪˈnaɪəl/;"a statement that something is not true or does not exist; the action of denying something";denial (of something), the prisoner’s repeated denials of the charges against him
1409;denounce;доречення;verb;c1;/dɪˈnaʊns/;/dɪˈnaʊns/;to strongly criticize somebody/something that you think is wrong, illegal, etc.;denounce somebody/something, She publicly denounced the government's handling of the crisis.
1410;dense;щільний;adjective;c1;/dens/;/dens/;containing a lot of people, things, plants, etc. with little space between them;a dense crowd/forest
1411;density;щільність;noun;c1;/ˈdensəti/;/ˈdensəti/;"the quality of being dense; the degree to which something is dense";The population density in this city is very high.
1412;dentist;стоматолог;noun;a2;/ˈdentɪst/;/ˈdentɪst/;a person whose job is to take care of people’s teeth;to see/visit/consult your dentist 
1413;deny;заперечувати;verb;b2;/dɪˈnaɪ/;/dɪˈnaɪ/;to say that something is not true;deny something, to deny an allegation/a charge/an accusation
1414;depart;від'їзд;verb;b2;/dɪˈpɑːt/;/dɪˈpɑːrt/;to leave a place, especially to start a trip;depart (for…) (from…), Flights for Rome depart from Terminal 3.
1415;department;кафедра;noun;a2;/dɪˈpɑːtmənt/;/dɪˈpɑːrtmənt/;a section of a large organization such as a government, business, university, etc.;department of something, the Department of Health
1416;departure;від'їзд;noun;b1;/dɪˈpɑːtʃə(r)/;/dɪˈpɑːrtʃər/;an act of leaving a place;His sudden departure threw the office into chaos.
1417;depend;залежати;verb;a2;/dɪˈpend/;/dɪˈpend/;according to;Starting salary varies from £26 000 to £30 500, depending on experience.
1418;dependence;залежність;noun;c1;/dɪˈpendəns/;/dɪˈpendəns/;the state of needing the help and support of somebody/something in order to survive or be successful;Our relationship was based on mutual dependence.
1419;dependent;залежне;adjective;b2;/dɪˈpendənt/;/dɪˈpendənt/;needing somebody/something in order to survive or be successful;a woman with several dependent children
1420;depict;зображено;verb;c1;/dɪˈpɪkt/;/dɪˈpɪkt/;to show an image of somebody/something in a picture;depict somebody/something (as somebody/something), a painting depicting the Virgin and Child
1421;deploy;розгортання;verb;c1;/dɪˈplɔɪ/;/dɪˈplɔɪ/;to move soldiers or weapons into a position where they are ready for military action;2 000 troops were deployed in the area.
1422;deployment;розгортання;noun;c1;/dɪˈplɔɪmənt/;/dɪˈplɔɪmənt/;the act of moving soldiers or weapons into a position where they are ready for military action;the deployment of peacekeeping forces
1423;deposit;депозит;noun;b2;/dɪˈpɒzɪt/;/dɪˈpɑːzɪt/;a sum of money that is given as the first part of a larger payment;They normally ask you to pay $100 (as a) deposit.
1424;deposit;депозит;verb;c1;/dɪˈpɒzɪt/;/dɪˈpɑːzɪt/;to put money into a bank account;Millions were deposited in Swiss bank accounts.
1425;depressed;пригнічений;adjective;b2;/dɪˈprest/;/dɪˈprest/;very sad and without hope;You mustn't let yourself get depressed.
1426;depressing;гнітюче;adjective;b2;/dɪˈpresɪŋ/;/dɪˈpresɪŋ/;making you feel very sad and without enthusiasm;a depressing sight/thought/experience 
1427;depression;депресія;noun;b2;/dɪˈpreʃn/;/dɪˈpreʃn/;a medical condition in which a person feels very sad, anxious and without hope and often has physical symptoms such as being unable to sleep, etc.;She was diagnosed as having clinical depression.
1428;deprive;позбавити;verb;c1;/dɪˈpraɪv/;/dɪˈpraɪv/;;
1429;depth;глибина;noun;b2;/depθ/;/depθ/;"the distance from the top or surface to the bottom of something; a particular distance down from the surface of something";depth of something, What's the depth of the water here?
1430;deputy;депутат;noun;c1;/ˈdepjuti/;/ˈdepjuti/;a person who is the next most important person below a business manager, a head of a school, a political leader, etc. and who does that person’s job when they are away;I'm acting as deputy till the manager returns.
1431;derive;виходити;verb;b2;/dɪˈraɪv/;/dɪˈraɪv/;;
1432;descend;спуск;verb;c1;/dɪˈsend/;/dɪˈsend/;to come or go down from a higher to a lower level;The plane began to descend.
1433;descent;спуск;noun;c1;/dɪˈsent/;/dɪˈsent/;an action of coming or going down;The plane began its descent to Heathrow.
1434;describe;опишіть;verb;a1;/dɪˈskraɪb/;/dɪˈskraɪb/;to say what somebody/something is like;describe somebody/something, The next section describes our findings in detail.
1435;description;опис;noun;a1;/dɪˈskrɪpʃn/;/dɪˈskrɪpʃn/;"a piece of writing or speech that says what somebody/something is like; the act of writing or saying in words what somebody/something is like";Follow the link below for a more detailed description.
1436;desert;пустеля;noun;a2;/ˈdezət/;/ˈdezərt/;a large area of land that has very little water and very few plants growing on it. Many deserts are covered by sand.;the Sahara Desert
1437;desert;пустеля;verb;b2;/dɪˈzɜːt/;/dɪˈzɜːrt/;to leave somebody without help or support;She was deserted by her husband.
1438;deserve;заслужити;verb;b2;/dɪˈzɜːv/;/dɪˈzɜːrv/;to do something or show qualities that mean a particular reaction, reward or punishment is appropriate;deserve something, You deserve a rest after all that hard work.
1439;design;дизайн;noun;a1;/dɪˈzaɪn/;/dɪˈzaɪn/;the general arrangement of the different parts of something that is made, such as a building, book, machine, etc.;The basic design of the car is very similar to that of earlier models.
1440;design;дизайн;verb;a1;/dɪˈzaɪn/;/dɪˈzaɪn/;to decide how something will look, work, etc., by drawing plans, making computer models, etc.;design something, He designed and built his own house.
1441;designate;позначити;verb;c1;/ˈdezɪɡneɪt/;/ˈdezɪɡneɪt/;"to say officially that somebody/something has a particular character or name; to describe somebody/something in a particular way";be designated (as) something, This area has been designated (as) a National Park.
1442;designer;дизайнер;noun;a2;/dɪˈzaɪnə(r)/;/dɪˈzaɪnər/;a person whose job is to decide how things such as clothes, furniture, tools, etc. will look or work by making drawings, plans or patterns;one of the country's top fashion designers
1443;desirable;бажаний;adjective;c1;/dɪˈzaɪərəbl/;/dɪˈzaɪərəbl/;"that you would like to have or do; worth having or doing";She chatted for a few minutes about the qualities she considered desirable in a secretary.
1444;desire;бажання;noun;b2;/dɪˈzaɪə(r)/;/dɪˈzaɪər/;a strong wish to have or do something;He now had enough money to satisfy all his desires.
1445;desire;бажання;verb;b2;/dɪˈzaɪə(r)/;/dɪˈzaɪər/;"to want something; to wish for something";desire something, We all desire health and happiness.
1446;desk;стіл;noun;a1;/desk/;/desk/;a piece of furniture like a table, often with drawers (= parts like boxes in it with handles on the front for pulling them open), that you sit at to read, write, work, etc.;at a desk, I spend all day sitting at a desk.
1447;desktop;робочий стіл;noun;c1;/ˈdesktɒp/;/ˈdesktɑːp/;a screen on a computer that shows the icons of programs and files that can be used;desktop icons
1448;desperate;відчайдушно;adjective;b2;/ˈdespərət/;/ˈdespərət/;feeling or showing that you have little hope and are ready to do anything without worrying about danger to yourself or others;The prisoners grew increasingly desperate.
1449;desperately;відчайдушно;adverb;b2;/ˈdespərətli/;/ˈdespərətli/;in a way that shows you have little hope and are ready to do anything without worrying about danger to yourself or others;She looked desperately around for a weapon.
1450;despite;незважаючи на;preposition;b1;/dɪˈspaɪt/;/dɪˈspaɪt/;used to show that something happened or is true although something else might have happened to prevent it;Her voice was shaking despite all her efforts to control it.
1451;destination;призначення;noun;b1;/ˌdestɪˈneɪʃn/;/ˌdestɪˈneɪʃn/;a place to which somebody/something is going or being sent;popular tourist/holiday destinations like the Bahamas
1452;destroy;знищити;verb;a2;/dɪˈstrɔɪ/;/dɪˈstrɔɪ/;to damage something so badly that it no longer exists, works, etc.;The building was completely destroyed by fire.
1453;destruction;знищення;noun;b2;/dɪˈstrʌkʃn/;/dɪˈstrʌkʃn/;"the act of destroying something; the process of being destroyed";the destruction of the rainforests
1454;destructive;руйнівний;adjective;c1;/dɪˈstrʌktɪv/;/dɪˈstrʌktɪv/;causing destruction or damage;The war demonstrated the destructive power of modern weapons.
1455;detail;деталі;noun;a1;/ˈdiːteɪl/;/ˈdiːteɪl/;"a small individual fact or item; a less important fact or item";an expedition planned down to the last detail
1456;detail;деталі;verb;b2;/ˈdiːteɪl/;/ˈdiːteɪl/;to give a list of facts or all the available information about something;The brochure details all the hotels in the area and their facilities.
1457;detailed;детальний;adjective;b2;/ˈdiːteɪld/;/ˈdiːteɪld/;"giving many details and a lot of information; paying great attention to details";a detailed description of the events
1458;detain;затримувати;verb;c1;/dɪˈteɪn/;/dɪˈteɪn/;to keep somebody in an official place, such as a police station, a prison or a hospital, and prevent them from leaving;One man has been detained for questioning.
1459;detect;виявити;verb;b2;/dɪˈtekt/;/dɪˈtekt/;to discover or notice something, especially something that is not easy to see, hear, etc.;The tests are designed to detect the disease early.
1460;detection;виявлення;noun;c1;/dɪˈtekʃn/;/dɪˈtekʃn/;"the process of discovering or noticing something, especially something that is not easy to see, hear, etc.; the fact of being discovered or noticed ";crime prevention and detection
1461;detective;детектив;noun;a2;/dɪˈtektɪv/;/dɪˈtektɪv/;a person, especially a police officer, whose job is to investigate crimes and catch criminals;a police/homicide/undercover detective
1462;detention;затримання;noun;c1;/dɪˈtenʃn/;/dɪˈtenʃn/;the state of being kept in a place, especially a prison, and prevented from leaving;They were sentenced to 12 months' detention in a young offender institution.
1463;deteriorate;погіршується;verb;c1;/dɪˈtɪəriəreɪt/;/dɪˈtɪriəreɪt/;to become worse;Her health deteriorated rapidly, and she died shortly afterwards.
1464;determination;визначення;noun;b2;/dɪˌtɜːmɪˈneɪʃn/;/dɪˌtɜːrmɪˈneɪʃn/;the quality that makes you continue trying to do something even when this is difficult;fierce/grim/dogged determination
1465;determine;визначити;verb;b1;/dɪˈtɜːmɪn/;/dɪˈtɜːrmɪn/;"to discover the facts about something; to calculate something exactly";determine something, An inquiry was set up to determine the cause of the accident.
1466;determined;визначений;adjective;b1;/dɪˈtɜːmɪnd/;/dɪˈtɜːrmɪnd/;having made a definite decision to do something and not letting anyone prevent you;The opposition to her plan made her more determined than ever.
1467;devastate;спустошено;verb;c1;/ˈdevəsteɪt/;/ˈdevəsteɪt/;to completely destroy a place or an area;The bomb devastated much of the old part of the city.
1468;develop;розвивати;verb;a2;/dɪˈveləp/;/dɪˈveləp/;"to gradually grow or become bigger, more advanced, stronger, etc.; to make something do this";From birth to age 5, a child's brain develops rapidly.
1469;development;розробка;noun;b1;/dɪˈveləpmənt/;/dɪˈveləpmənt/;the steady growth of something so that it becomes more advanced, stronger, etc.;a baby’s development in the womb
1470;device;пристрій;noun;a2;/dɪˈvaɪs/;/dɪˈvaɪs/;an object or a piece of equipment that has been designed to do a particular job;a tracking/recording/listening device
1471;devil;диявол;noun;c1;/ˈdevl/;/ˈdevl/;the most powerful evil being;belief in the Devil
1472;devise;розробити;verb;c1;/dɪˈvaɪz/;/dɪˈvaɪz/;to invent something new or a new way of doing something;A new system has been devised to control traffic in the city.
1473;devote;присвятити;verb;b2;/dɪˈvəʊt/;/dɪˈvəʊt/;;
1474;diagnose;діагностувати;verb;c1;/ˈdaɪəɡnəʊz/;/ˌdaɪəɡˈnəʊs/;to say exactly what an illness or the cause of a problem is;diagnose something, The test is used to diagnose a variety of diseases.
1475;diagnosis;діагностика;noun;c1;/ˌdaɪəɡˈnəʊsɪs/;/ˌdaɪəɡˈnəʊsɪs/;the act of discovering or identifying the exact cause of an illness or a problem;a diagnosis of lung cancer
1476;diagram;діаграма;noun;b1;/ˈdaɪəɡræm/;/ˈdaɪəɡræm/;a simple drawing using lines to explain where something is, how something works, etc.;The results are shown in diagram 2.
1477;dialogue;діалог;noun;a1;/ˈdaɪəlɒɡ/;/ˈdaɪəlɔːɡ/;a conversation in a book, play or film or in language teaching materials;Learners are asked to listen to three short dialogues.
1478;diamond;діамант;noun;b1;/ˈdaɪmənd/;/ˈdaɪmənd/;a clear precious stone of pure carbon, the hardest substance known. Diamonds are used in jewellery and also in industry, especially for cutting glass.;a diamond ring/necklace
1479;diary;щоденник;noun;a2;/ˈdaɪəri/;/ˈdaɪəri/;a book in which you can write down the experiences you have each day, your private thoughts, etc.;Do you keep a diary (= write one regularly)?
1480;dictate;диктувати;verb;c1;/dɪkˈteɪt/;/ˈdɪkteɪt/;to tell somebody what to do, especially in an annoying way;dictate something (to somebody), They are in no position to dictate terms (= tell other people what to do).
1481;dictator;диктатор;noun;c1;/dɪkˈteɪtə(r)/;/ˈdɪkteɪtər/;a political leader who has complete power over a country, especially one who has gained it using military force;The country suffered at the hands of a series of military dictators.
1482;dictionary;словник;noun;a1;/ˈdɪkʃənri/;/ˈdɪkʃəneri/;a book or electronic resource that gives a list of the words of a language in alphabetical order and explains what they mean, or gives a word for them in a foreign language;a Spanish-English dictionary
1483;die;померти;verb;a1;/daɪ/;/daɪ/;to stop living;My father died suddenly at the age of 48.
1484;diet;дієта;noun;a1;/ˈdaɪət/;/ˈdaɪət/;the food and drink that you eat and drink regularly;to eat a healthy, balanced diet
1485;differ;відрізнятись;verb;b2;/ˈdɪfə(r)/;/ˈdɪfər/;to be different from somebody/something;They hold differing views.
1486;difference;різниця;noun;a1;/ˈdɪfrəns/;/ˈdɪfrəns/;"the way in which two people or things are not like each other; the way in which somebody/something has changed";Americans and Brits speak the same language, but there are big cultural differences.
1487;different;різний;adjective;a1;/ˈdɪfrənt/;/ˈdɪfrənt/;"not the same as somebody/something; not like somebody/something else";different from somebody/something, American English is significantly different from British English.
1488;differentiate;диференціювати;verb;c1;/ˌdɪfəˈrenʃieɪt/;/ˌdɪfəˈrenʃieɪt/;to recognize or show that two things are not the same;differentiate (between) A and B, It's difficult to differentiate between the two varieties.
1489;differently;по -різному;adverb;a2;/ˈdɪfrəntli/;/ˈdɪfrəntli/;in a different way from somebody/something;Boys and girls may behave differently.
1490;difficult;складний;adjective;a1;/ˈdɪfɪkəlt/;/ˈdɪfɪkəlt/;"not easy; needing effort or skill to do or to understand";The competition judges were given a very difficult task.
1491;difficulty;труднощі;noun;b1;/ˈdɪfɪkəlti/;/ˈdɪfɪkəlti/;"a problem; a thing or situation that causes problems";the difficulties of English syntax
1492;dig;копати;verb;b2;/dɪɡ/;/dɪɡ/;to make a hole in the ground or to move soil from one place to another using your hands, a tool or a machine;I think I'll do some digging in the garden.
1493;digital;цифровий;adjective;a2;/ˈdɪdʒɪtl/;/ˈdɪdʒɪtl/;using a system of receiving and sending information as a series of the numbers one and zero, showing that an electronic signal is there or is not there;a digital camera 
1494;dignity;гідність;noun;c1;/ˈdɪɡnəti/;/ˈdɪɡnəti/;a calm and serious manner that deserves respect;She accepted the criticism with quiet dignity.
1495;dilemma;дилема;noun;c1;/dɪˈlemə/;/dɪˈlemə/;a situation that makes problems, often one in which you have to make a very difficult choice between things of equal importance;I could see no way of resolving this moral dilemma.
1496;dimension;розмір;noun;c1;/daɪˈmenʃn/;/daɪˈmenʃn/;a measurement in space, for example how high, wide or long something is;We measured the dimensions of the kitchen.
1497;diminish;зменшити;verb;c1;/dɪˈmɪnɪʃ/;/dɪˈmɪnɪʃ/;"to become smaller, weaker, etc.; to make something become smaller, weaker, etc.";The world's resources are rapidly diminishing.
1498;dinner;вечеря;noun;a1;/ˈdɪnə(r)/;/ˈdɪnər/;the main meal of the day, eaten either in the middle of the day or in the evening;It's time for dinner.
1499;dip;dip;verb;c1;/dɪp/;/dɪp/;to put something quickly into a liquid and take it out again;dip something (into something), He dipped the brush into the paint.
1500;diplomat;дипломат;noun;c1;/ˈdɪpləmæt/;/ˈdɪpləmæt/;a person whose job is to represent his or her country in a foreign country, for example, in an embassy;Washington's top diplomat in Havana
1501;diplomatic;дипломатичний;adjective;c1;/ˌdɪpləˈmætɪk/;/ˌdɪpləˈmætɪk/;connected with managing relations between countries (= diplomacy);a diplomatic crisis
1502;direct;прямий;adjective;a2;/dəˈrekt/;/dəˈrekt/;going in the straightest line between two places without stopping or changing direction;the most direct route
1503;direct;прямий;adverb;b1;/dəˈrekt/;/dəˈrekt/;without stopping or changing direction or vehicle;direct to something, We flew direct to Hong Kong.
1504;direct;прямий;verb;b1;/dəˈrekt/;/dəˈrekt/;to control or be in charge of somebody/something;He was asked to take command and direct operations.
1505;direction;напрямок;noun;a2;/dəˈrekʃn/;/dəˈrekʃn/;the general position a person or thing moves or points towards;in the direction of something, They headed in the direction of the village.
1506;directly;безпосередньо;adverb;b1;/dəˈrektli/;/dəˈrektli/;without stopping or changing direction;The path leads directly to the river.
1507;director;директор;noun;a2;/dəˈrektə(r)/;/dəˈrektər/;one of a group of senior managers who run a company;a non-executive director
1508;directory;каталог;noun;c1;/dəˈrektəri/;/dəˈrektəri/;a book or electronic resource containing lists of information, usually in alphabetical order, for example people’s phone numbers or the names and addresses of businesses in a particular area;a telephone/trade directory
1509;dirt;бруд;noun;b1;/dɜːt/;/dɜːrt/;any substance that makes something dirty, for example dust, soil or mud;His clothes were covered in dirt.
1510;dirty;брудний;adjective;a1;/ˈdɜːti/;/ˈdɜːrti/;not clean;dirty hands/clothes/dishes
1511;disability;інвалідність;noun;b2;/ˌdɪsəˈbɪləti/;/ˌdɪsəˈbɪləti/;a physical or mental condition that makes it difficult for somebody to do some things that most other people can do;a physical/developmental/intellectual disability
1512;disabled;інвалід;adjective;b2;/dɪsˈeɪbld/;/dɪsˈeɪbld/;having a condition that makes it difficult for you to do some things that most other people can do;physically/developmentally/intellectually disabled
1513;disadvantage;недолік;noun;b1;/ˌdɪsədˈvɑːntɪdʒ/;/ˌdɪsədˈvæntɪdʒ/;something that causes problems and tends to stop somebody/something from succeeding or making progress;a serious/severe/significant disadvantage
1514;disagree;не згодні;verb;a2;/ˌdɪsəˈɡriː/;/ˌdɪsəˈɡriː/;if two people disagree or one person disagrees with another about something, they have a different opinion about it;Even friends disagree sometimes.
1515;disagreement;незгода;noun;b2;/ˌdɪsəˈɡriːmənt/;/ˌdɪsəˈɡriːmənt/;a situation where people have different opinions about something and often argue;disagreement (about/on/over/as to something), Disagreement arose about exactly how to plan the show.
1516;disappear;зникнути;verb;a2;/ˌdɪsəˈpɪə(r)/;/ˌdɪsəˈpɪr/;to become impossible to see;With that, Matt promptly disappeared.
1517;disappoint;розчарування;verb;b2;/ˌdɪsəˈpɔɪnt/;/ˌdɪsəˈpɔɪnt/;to make somebody feel sad because something that they hope for or expect to happen does not happen or is not as good as they hoped;disappoint (somebody), Her decision to cancel the concert is bound to disappoint her fans.
